Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Calories_Burned (kcal)_log
33,Male,80.0,1.66,195.0,154.0,78.0,0.66,Cardio,27.2,2.5,5,1,29.1,7.0,0.6495726495726496,4.547008547008547,240.1,5.485211785187126
49,Female,73.7,1.87,169.0,153.0,62.0,0.74,Hiit,14.7,2.7,5,1,21.1,9.5,0.8504672897196262,8.07943925233645,440.6,6.090404494962885
39,Female,52.5,1.52,173.0,122.0,60.0,0.93,Yoga,18.3,4.1,7,2,22.6,3.0,0.5486725663716814,1.646017699115044,80.4,4.399375273008495
46,Female,59.9,1.46,188.0,170.0,67.0,0.99,Hiit,21.0,3.4,4,2,28.2,9.5,0.8512396694214877,8.086776859504132,479.6,6.175035323302368
39,Female,69.7,1.61,186.0,147.0,74.0,0.6,Cardio,26.7,2.5,3,1,27.0,7.0,0.6517857142857143,4.5625,190.8,5.256453162449338
20,Female,93.7,1.75,200.0,166.0,64.0,1.11,Mixed,20.3,4.5,7,3,30.6,8.0,0.75,6.0,624.0,6.437751649736401
27,Male,64.3,1.57,193.0,164.0,77.0,1.15,Mixed,18.0,4.8,4,1,25.9,8.0,0.75,6.0,443.7,6.097399897516651
59,Male,54.0,1.58,150.0,140.0,79.0,0.69,Hiit,22.6,3.4,3,0,21.6,9.5,0.8591549295774648,8.161971830985916,304.1,5.720639591722624
38,Female,101.6,1.78,180.0,145.0,64.0,1.32,Strength,19.2,4.5,4,2,32.2,6.0,0.6982758620689655,4.189655172413794,561.9,6.333101992469981
33,Female,78.5,1.73,183.0,168.0,80.0,0.69,Hiit,27.1,3.4,3,0,26.3,9.5,0.8543689320388349,8.116504854368932,439.6,6.088137434368242
29,Male,69.0,1.72,191.0,172.0,60.0,0.82,Hiit,12.7,3.5,7,3,23.4,9.5,0.8549618320610687,8.122137404580153,459.6,6.132529987386585
19,Male,74.9,1.76,205.0,185.0,71.0,0.72,Hiit,22.0,3.2,5,1,24.2,9.5,0.8507462686567164,8.082089552238806,435.9,6.07970433595739
58,Male,66.3,1.64,164.0,149.0,63.0,1.08,Hiit,16.8,3.9,7,2,24.7,9.5,0.8514851485148515,8.089108910891088,579.2,6.363372871687304
41,Female,62.2,1.64,189.0,148.0,71.0,1.17,Cardio,24.3,3.4,3,1,23.1,7.0,0.652542372881356,4.567796610169491,332.4,5.809342970316694
52,Male,57.4,1.76,161.0,128.0,67.0,0.74,Cardio,25.3,2.8,3,0,18.5,7.0,0.648936170212766,4.542553191489362,192.9,5.267342562248606
47,Male,72.9,1.55,165.0,151.0,70.0,1.04,Hiit,19.4,3.5,5,2,30.5,9.5,0.8526315789473684,8.1,614.1,6.421784856214322
47,Female,51.4,1.47,179.0,161.0,60.0,1.16,Hiit,17.7,3.6,7,2,23.9,9.5,0.8487394957983193,8.063025210084033,480.7,6.177321513636175
52,Female,66.3,1.64,169.0,140.0,56.0,1.22,Mixed,11.2,4.9,5,3,24.7,8.0,0.7433628318584071,5.946902654867257,481.0,6.1779441140506
36,Male,101.6,1.77,186.0,129.0,58.0,0.69,Yoga,22.5,4.1,4,1,32.3,3.0,0.5546875,1.6640625,116.7,4.768139014266231
25,Female,61.9,1.71,195.0,150.0,66.0,0.77,Cardio,18.7,2.8,5,1,21.3,7.0,0.6511627906976745,4.558139534883721,217.3,5.385870263555899
43,Male,83.0,1.77,178.0,141.0,55.0,0.92,Strength,16.6,4.1,7,3,26.6,6.0,0.6991869918699187,4.195121951219512,320.3,5.772375266121813
57,Male,45.5,1.48,166.0,139.0,76.0,0.98,Strength,23.4,3.9,2,0,20.8,6.0,0.7,4.199999999999999,187.3,5.238036435663107
24,Female,74.1,1.71,197.0,159.0,69.0,0.76,Strength,24.1,3.9,2,0,25.3,6.0,0.703125,4.21875,237.6,5.474788509663815
47,Female,75.6,1.75,170.0,126.0,73.0,0.63,Yoga,28.8,3.5,3,0,24.8,3.0,0.5463917525773195,1.6391752577319587,78.1,4.370712874773608
24,Male,64.8,1.54,205.0,168.0,57.0,1.26,Mixed,15.8,4.7,7,3,27.2,8.0,0.75,6.0,489.9,6.196240441064007
20,Female,89.9,1.77,200.0,140.0,66.0,0.92,Yoga,34.7,3.9,3,0,28.8,3.0,0.5522388059701493,1.656716417910448,137.0,4.927253685157205
18,Female,60.4,1.67,201.0,181.0,66.0,1.28,Hiit,21.8,3.4,4,2,21.7,9.5,0.8518518518518519,8.092592592592593,625.7,6.44046795723063
53,Female,104.9,1.9,165.0,141.0,69.0,0.94,Mixed,30.7,4.0,5,1,29.7,8.0,0.75,6.0,604.0,6.405228458030842
42,Female,64.0,1.46,180.0,154.0,75.0,0.67,Mixed,20.8,3.7,3,0,29.9,8.0,0.7523809523809524,6.019047619047619,258.1,5.557214087568064
54,Female,75.9,1.82,165.0,150.0,64.0,1.17,Hiit,15.4,3.9,7,3,23.0,9.5,0.8514851485148515,8.089108910891088,718.3,6.5782785168733104
18,Female,64.5,1.64,192.0,155.0,70.0,0.73,Strength,17.3,3.2,5,1,24.0,6.0,0.6967213114754098,4.1803278688524586,196.8,5.287256419188612
32,Female,50.8,1.52,187.0,151.0,68.0,0.63,Strength,27.0,3.9,5,1,22.0,6.0,0.6974789915966386,4.184873949579831,133.9,4.90453376321371
54,Male,60.3,1.63,161.0,132.0,80.0,0.25,Cardio,28.6,2.3,3,0,22.8,7.0,0.6419753086419753,4.493827160493827,67.7,4.229749199228304
30,Female,56.0,1.71,191.0,156.0,73.0,0.76,Strength,29.5,3.0,2,0,19.2,6.0,0.7033898305084746,4.220338983050848,179.6,5.196284640982885
57,Male,86.3,1.78,163.0,118.0,62.0,0.85,Yoga,22.2,4.0,5,2,27.1,3.0,0.5544554455445545,1.6633663366336635,122.0,4.812184355372417
25,Female,61.8,1.85,192.0,163.0,78.0,0.89,Mixed,32.8,4.4,2,0,18.0,8.0,0.7456140350877193,5.964912280701754,328.1,5.796361655949294
22,Male,70.4,1.82,203.0,155.0,66.0,0.93,Cardio,27.0,3.3,3,1,21.2,7.0,0.6496350364963503,4.547445255474452,297.7,5.699439725222064
26,Female,59.7,1.58,194.0,154.0,81.0,0.27,Cardio,24.2,2.4,3,0,23.8,7.0,0.6460176991150443,4.522123893805309,72.9,4.302712827954156
18,Male,93.9,1.79,200.0,158.0,61.0,1.24,Strength,17.0,3.8,6,3,29.2,6.0,0.697841726618705,4.18705035971223,487.5,6.191339471482838
53,Female,64.5,1.72,165.0,133.0,73.0,1.09,Cardio,18.3,3.6,4,2,21.8,7.0,0.6521739130434783,4.565217391304348,321.0,5.7745515455444085
52,Male,67.0,1.61,166.0,131.0,65.0,1.37,Cardio,17.6,3.8,7,2,25.7,7.0,0.6534653465346535,4.574257425742575,419.9,6.042395275776525
19,Female,65.1,1.66,204.0,185.0,80.0,0.72,Hiit,33.3,3.8,2,0,23.7,9.5,0.8467741935483871,8.044354838709678,377.1,5.9351587108968875
57,Female,71.9,1.61,159.0,130.0,62.0,0.69,Strength,19.6,3.0,3,1,27.8,6.0,0.7010309278350515,4.2061855670103085,208.7,5.345677937907874
40,Male,72.3,1.68,180.0,151.0,81.0,0.66,Strength,25.4,3.2,2,0,25.5,6.0,0.7070707070707071,4.242424242424242,202.4,5.315174483614459
26,Male,70.6,1.61,191.0,163.0,78.0,0.36,Mixed,25.0,3.7,2,0,27.3,8.0,0.7522123893805309,6.017699115044247,152.9,5.0363030408448335
51,Female,54.2,1.58,166.0,123.0,72.0,0.76,Yoga,36.2,3.7,2,0,21.8,3.0,0.5425531914893617,1.627659574468085,67.0,4.219507705176107
31,Male,59.5,1.73,191.0,147.0,64.0,1.2,Cardio,12.3,3.2,6,3,19.9,7.0,0.6535433070866141,4.574803149606299,326.6,5.791793351978915
21,Male,77.4,1.74,194.0,146.0,55.0,1.1,Cardio,14.3,3.3,7,3,25.5,7.0,0.6546762589928058,4.58273381294964,390.2,5.969218938160663
47,Female,60.8,1.66,176.0,127.0,68.0,0.99,Yoga,25.0,3.8,4,1,22.0,3.0,0.5462962962962963,1.6388888888888888,98.6,4.601162164590552
48,Male,79.6,1.82,174.0,125.0,66.0,0.41,Yoga,27.1,3.4,3,1,24.1,3.0,0.5462962962962963,1.6388888888888888,53.5,3.9982007016691985
55,Female,69.1,1.65,172.0,138.0,75.0,0.86,Cardio,25.8,3.2,4,1,25.3,7.0,0.6494845360824743,4.546391752577319,270.2,5.60285655606624
28,Male,78.8,1.65,183.0,137.0,81.0,0.69,Yoga,24.4,3.7,3,0,29.0,3.0,0.5490196078431373,1.647058823529412,89.6,4.506454213048934
52,Female,82.8,1.75,173.0,157.0,63.0,0.75,Hiit,20.6,2.7,5,2,27.1,9.5,0.8545454545454545,8.118181818181817,504.1,6.224756429474007
25,Male,59.1,1.67,193.0,133.0,59.0,0.8,Yoga,21.3,4.5,5,2,21.3,3.0,0.5522388059701493,1.656716417910448,78.3,4.373238128640803
20,Female,55.4,1.69,191.0,153.0,65.0,1.06,Strength,31.4,4.0,3,1,19.4,6.0,0.6984126984126984,4.19047619047619,246.1,5.509793112994564
31,Female,64.8,1.45,186.0,144.0,65.0,0.81,Cardio,19.5,2.8,4,2,30.8,7.0,0.6528925619834711,4.570247933884298,239.9,5.484381909620826
30,Male,50.9,1.68,193.0,146.0,60.0,1.35,Cardio,18.0,3.4,5,3,18.0,7.0,0.6466165413533834,4.526315789473684,311.0,5.7430031878094825
49,Male,49.7,1.5,171.0,125.0,68.0,0.85,Yoga,25.8,4.2,4,1,22.2,3.0,0.5533980582524272,1.6601941747572817,70.1,4.264087336809195
51,Female,64.5,1.56,176.0,148.0,66.0,0.53,Mixed,25.3,4.2,4,1,26.6,8.0,0.7454545454545455,5.963636363636364,203.9,5.322522055244854
36,Female,73.1,1.55,182.0,165.0,68.0,1.39,Hiit,11.9,3.9,7,3,30.6,9.5,0.8508771929824561,8.083333333333334,719.45,6.579876016778943
55,Male,57.7,1.58,165.0,134.0,62.0,0.97,Strength,14.0,3.8,6,2,23.2,6.0,0.6990291262135923,4.194174757281553,234.7,5.462559809942086
33,Male,63.7,1.63,186.0,127.0,56.0,1.19,Yoga,17.8,4.4,6,3,24.1,3.0,0.5461538461538461,1.6384615384615384,124.2,4.829912458665998
19,Male,54.6,1.63,196.0,167.0,81.0,0.49,Mixed,28.6,4.2,2,0,20.5,8.0,0.7478260869565218,5.982608695652174,160.1,5.082025290182929
57,Male,74.7,1.75,163.0,123.0,74.0,0.7,Yoga,24.9,4.0,2,0,24.5,3.0,0.550561797752809,1.651685393258427,86.4,4.470495282661489
34,Male,56.2,1.7,185.0,146.0,73.0,0.98,Cardio,23.6,3.1,4,1,19.4,7.0,0.6517857142857143,4.5625,251.3,5.530618855647012
51,Male,46.6,1.49,169.0,140.0,71.0,0.25,Strength,28.1,3.2,2,0,21.0,6.0,0.7040816326530612,4.224489795918368,49.2,3.9160150266976834
59,Female,77.1,1.69,161.0,117.0,63.0,1.35,Yoga,17.3,5.0,6,3,27.1,3.0,0.5510204081632653,1.6530612244897958,172.1,5.153869462182164
33,Male,65.2,1.71,187.0,147.0,74.0,0.84,Cardio,30.3,3.5,5,1,22.3,7.0,0.6460176991150443,4.522123893805309,247.7,5.516247350809359
55,Male,75.1,1.65,165.0,149.0,55.0,1.06,Hiit,8.0,3.8,6,3,27.7,9.5,0.8545454545454545,8.118181818181817,646.3,6.472809865551464
19,Male,65.5,1.67,205.0,159.0,72.0,0.6,Cardio,26.1,2.9,2,0,23.4,7.0,0.6541353383458647,4.578947368421053,180.0,5.198497031265826
19,Male,53.5,1.7,196.0,140.0,70.0,0.91,Yoga,19.3,4.0,2,0,18.5,3.0,0.5555555555555556,1.6666666666666667,81.1,4.407938016458383
43,Female,88.5,1.76,173.0,128.0,72.0,0.55,Yoga,24.7,3.8,2,0,28.7,3.0,0.5544554455445545,1.6633663366336635,81.0,4.406719247264253
30,Female,43.4,1.52,197.0,180.0,83.0,0.77,Hiit,29.3,3.2,2,0,18.7,9.5,0.8508771929824561,8.083333333333334,270.1,5.60248775650462
48,Female,59.2,1.66,178.0,130.0,71.0,1.04,Yoga,18.5,3.8,3,1,21.6,3.0,0.5514018691588785,1.6542056074766354,101.8,4.632785353021065
51,Female,77.8,1.83,170.0,149.0,85.0,0.74,Mixed,28.7,4.2,2,0,23.2,8.0,0.7529411764705882,6.023529411764706,346.8,5.851627601920183
56,Male,93.0,1.82,174.0,160.0,77.0,0.83,Hiit,22.8,3.4,5,1,28.0,9.5,0.8556701030927835,8.128865979381443,627.5,6.443336028030302
20,Female,68.2,1.77,202.0,163.0,71.0,1.35,Strength,21.1,3.6,6,2,21.9,6.0,0.7022900763358778,4.213740458015267,388.0,5.963579343618446
25,Male,61.0,1.73,204.0,162.0,82.0,0.81,Cardio,33.6,3.1,3,0,20.3,7.0,0.6557377049180327,4.590163934426229,226.8,5.428468051013081
40,Male,84.0,1.85,187.0,155.0,81.0,0.6,Strength,30.9,3.1,3,0,24.7,6.0,0.6981132075471698,4.188679245283018,211.1,5.357057861570636
31,Female,81.1,1.87,197.0,179.0,79.0,0.86,Hiit,24.7,3.6,5,1,23.1,9.5,0.847457627118644,8.050847457627118,561.5,6.332391134078575
44,Female,61.5,1.67,170.0,145.0,68.0,1.18,Mixed,24.0,5.2,7,2,22.1,8.0,0.7549019607843137,6.03921568627451,438.3,6.085182550981734
46,Male,62.3,1.58,177.0,160.0,63.0,1.27,Hiit,14.3,4.0,5,3,24.9,9.5,0.8508771929824561,8.083333333333334,639.6,6.462405237175058
56,Female,52.4,1.65,164.0,140.0,68.0,1.11,Mixed,17.1,4.6,5,2,19.2,8.0,0.75,6.0,349.0,5.857933154483459
56,Female,65.0,1.9,157.0,113.0,58.0,1.04,Yoga,15.9,4.2,6,3,18.0,3.0,0.5555555555555556,1.6666666666666667,112.7,4.73356340075649
18,Male,75.5,1.52,205.0,186.0,79.0,0.84,Hiit,28.6,3.3,3,0,32.6,9.5,0.8492063492063492,8.067460317460318,511.6,6.239495813929971
34,Male,65.1,1.63,192.0,159.0,81.0,0.62,Strength,27.8,3.4,3,0,24.4,6.0,0.7027027027027027,4.216216216216217,170.2,5.1428324637076415
58,Male,58.5,1.54,161.0,127.0,62.0,1.09,Cardio,19.5,3.2,7,2,24.7,7.0,0.6565656565656566,4.595959595959596,293.1,5.68391984555995
47,Male,59.8,1.69,170.0,154.0,61.0,1.06,Hiit,26.1,3.3,6,2,20.9,9.5,0.8532110091743119,8.105504587155963,513.8,6.243778475721972
30,Male,67.1,1.56,190.0,145.0,62.0,0.86,Cardio,23.2,3.5,4,2,27.6,7.0,0.6484375,4.5390625,261.9,5.571773731735836
38,Female,60.9,1.67,173.0,159.0,77.0,0.82,Hiit,26.0,3.2,5,1,21.9,9.5,0.8541666666666666,8.114583333333332,405.2,6.0068456491462845
36,Male,39.7,1.48,177.0,162.0,74.0,0.31,Hiit,20.1,2.8,2,0,18.0,9.5,0.8543689320388349,8.116504854368932,99.9,4.6141299273595635
36,Male,65.9,1.74,183.0,166.0,69.0,0.7,Hiit,22.2,2.8,3,0,21.7,9.5,0.8508771929824561,8.083333333333334,372.9,5.923988381983068
42,Male,74.3,1.8,181.0,131.0,70.0,0.72,Yoga,28.6,4.0,2,0,22.9,3.0,0.5495495495495496,1.648648648648649,88.2,4.490881039585964
39,Female,62.8,1.64,180.0,147.0,70.0,0.82,Strength,32.5,3.5,2,0,23.3,6.0,0.7,4.199999999999999,216.3,5.3812788872623845
48,Male,64.4,1.67,169.0,121.0,61.0,0.93,Yoga,15.4,4.1,4,2,23.2,3.0,0.5555555555555556,1.6666666666666667,99.8,4.613138355637268
34,Male,59.3,1.66,182.0,148.0,68.0,0.38,Strength,32.0,3.3,2,0,21.4,6.0,0.7017543859649122,4.2105263157894735,94.9,4.563305981889393
40,Female,60.7,1.7,192.0,150.0,73.0,0.64,Cardio,26.6,2.8,5,1,21.0,7.0,0.6470588235294118,4.529411764705882,176.0,5.176149732573829
49,Male,64.1,1.68,166.0,118.0,59.0,1.2,Yoga,17.8,4.1,7,3,22.8,3.0,0.5514018691588785,1.6542056074766354,127.2,4.853591544486569
27,Male,55.6,1.76,184.0,145.0,73.0,1.13,Cardio,20.0,3.3,3,1,18.0,7.0,0.6486486486486487,4.54054054054054,285.3,5.65704021210407
27,Male,58.5,1.8,190.0,171.0,64.0,0.31,Hiit,29.3,2.7,2,0,18.0,9.5,0.8492063492063492,8.067460317460318,146.3,4.9924713234685845
53,Female,62.3,1.6,170.0,125.0,70.0,1.03,Yoga,17.1,4.2,6,2,24.4,3.0,0.55,1.65,105.9,4.671893818030999
25,Female,66.5,1.65,196.0,137.0,65.0,0.66,Yoga,17.8,4.1,7,2,24.5,3.0,0.549618320610687,1.6488549618320612,72.4,4.29592393562047
37,Male,86.2,1.77,179.0,164.0,78.0,0.5,Hiit,27.8,2.7,3,0,27.5,9.5,0.8514851485148515,8.089108910891088,348.6,5.85678964378138
49,Male,54.3,1.54,172.0,147.0,73.0,0.81,Mixed,13.1,4.2,5,2,23.0,8.0,0.7474747474747475,5.97979797979798,263.0,5.575949103146316
31,Male,42.3,1.48,195.0,153.0,77.0,0.5,Cardio,20.1,2.5,2,0,19.2,7.0,0.6440677966101694,4.508474576271186,95.4,4.5685062016165
45,Female,52.2,1.7,176.0,146.0,76.0,1.12,Strength,13.4,4.4,5,2,18.0,6.0,0.7,4.199999999999999,245.5,5.5073619934827445
41,Female,61.1,1.73,180.0,146.0,66.0,0.55,Strength,23.7,3.7,2,0,20.4,6.0,0.7017543859649122,4.2105263157894735,141.5,4.959341999708705
32,Female,66.4,1.61,189.0,153.0,68.0,0.45,Strength,19.7,2.6,5,1,25.7,6.0,0.7024793388429752,4.214876033057851,125.9,4.843399374720342
39,Female,78.3,1.62,177.0,125.0,61.0,0.69,Yoga,18.3,4.1,5,1,29.8,3.0,0.5517241379310345,1.6551724137931034,89.4,4.504244267398131
47,Female,62.3,1.6,175.0,143.0,67.0,0.99,Strength,25.3,3.9,4,2,24.2,6.0,0.7037037037037037,4.222222222222222,260.4,5.566051801190121
21,Female,48.6,1.59,204.0,163.0,65.0,1.04,Strength,16.1,3.9,7,2,19.1,6.0,0.7050359712230215,4.230215827338129,213.8,5.36970736263471
30,Male,62.7,1.75,197.0,175.0,55.0,1.23,Hiit,11.5,3.9,7,3,20.5,9.5,0.8450704225352113,8.028169014084506,619.1,6.429880755355832
40,Female,50.3,1.56,182.0,148.0,85.0,0.44,Cardio,26.0,2.4,2,0,20.6,7.0,0.6494845360824743,4.546391752577319,100.6,4.6210435351443815
25,Male,61.2,1.65,195.0,136.0,63.0,1.08,Yoga,20.8,4.3,4,2,22.4,3.0,0.553030303030303,1.659090909090909,109.7,4.706823839714591
35,Female,72.0,1.59,194.0,175.0,64.0,0.36,Hiit,22.9,2.8,3,0,28.5,9.5,0.8538461538461538,8.111538461538462,210.3,5.353278924622011
29,Male,67.8,1.53,192.0,174.0,73.0,0.99,Hiit,18.1,3.1,4,1,28.8,9.5,0.8487394957983193,8.063025210084033,541.2,6.295634937064565
48,Female,72.8,1.77,170.0,126.0,73.0,0.49,Yoga,23.9,3.2,3,1,23.3,3.0,0.5463917525773195,1.6391752577319587,58.5,4.085976312551584
31,Male,65.6,1.63,186.0,169.0,73.0,0.87,Hiit,19.5,2.9,3,0,24.7,9.5,0.8495575221238938,8.070796460176991,460.6,6.13469871519389
51,Male,60.1,1.7,165.0,143.0,79.0,0.86,Mixed,25.3,3.8,3,0,20.8,8.0,0.7441860465116279,5.953488372093023,307.7,5.732369931508114
35,Male,42.1,1.53,182.0,127.0,60.0,0.58,Yoga,23.6,3.4,5,2,18.0,3.0,0.5491803278688525,1.6475409836065575,40.2,3.7184382563554808
51,Female,80.3,1.61,179.0,142.0,73.0,0.62,Cardio,35.8,2.8,2,0,31.2,7.0,0.6509433962264151,4.556603773584905,226.9,5.4289069362516384
28,Female,55.5,1.76,188.0,138.0,77.0,0.57,Yoga,29.7,2.7,2,0,18.0,3.0,0.5495495495495496,1.648648648648649,52.2,3.9740583963475986
58,Female,65.0,1.9,170.0,155.0,75.0,1.01,Hiit,24.4,3.9,5,1,18.0,9.5,0.8421052631578947,8.0,525.2,6.2656813686061925
29,Male,68.5,1.48,190.0,173.0,74.0,0.57,Hiit,17.9,3.0,2,0,31.2,9.5,0.853448275862069,8.107758620689655,316.6,5.760792729372981
32,Male,66.3,1.66,193.0,151.0,73.0,0.9,Cardio,27.5,2.7,2,0,24.1,7.0,0.65,4.55,271.5,5.607638614103299
48,Male,57.8,1.72,167.0,133.0,70.0,0.97,Cardio,20.7,2.7,4,1,19.5,7.0,0.6494845360824743,4.546391752577319,254.9,5.544786743165743
46,Female,70.0,1.62,174.0,147.0,65.0,0.46,Mixed,26.0,4.1,3,0,26.7,8.0,0.7522935779816514,6.018348623853211,193.8,5.271973391208435
43,Female,84.4,1.76,169.0,119.0,59.0,1.32,Yoga,14.0,4.3,7,3,27.1,3.0,0.5454545454545454,1.6363636363636362,182.3,5.21112415484566
35,Male,47.4,1.59,185.0,146.0,55.0,1.26,Strength,15.3,4.1,5,3,18.7,6.0,0.7,4.199999999999999,250.8,5.528635121610247
49,Female,62.9,1.7,175.0,159.0,66.0,0.91,Hiit,23.1,3.9,5,1,21.9,9.5,0.8532110091743119,8.105504587155963,464.0,6.142037405587356
39,Female,72.9,1.63,186.0,150.0,68.0,0.62,Strength,31.7,3.4,3,0,27.5,6.0,0.6949152542372882,4.169491525423729,188.5,5.244389024522481
55,Female,67.3,1.8,165.0,151.0,73.0,0.97,Hiit,37.4,4.0,3,1,20.7,9.5,0.8478260869565217,8.054347826086957,525.8,6.2668209698691255
34,Female,65.3,1.61,184.0,145.0,71.0,0.65,Cardio,24.2,2.6,3,0,25.1,7.0,0.6548672566371682,4.5840707964601775,194.6,5.276071757600717
40,Male,80.3,1.64,180.0,149.0,76.0,0.88,Strength,16.4,3.6,5,1,29.7,6.0,0.7019230769230769,4.211538461538462,297.6,5.69910488510509
41,Female,56.7,1.77,176.0,160.0,66.0,0.59,Hiit,33.6,2.7,2,0,18.0,9.5,0.8545454545454545,8.118181818181817,271.6,5.6080055192624325
25,Female,56.3,1.58,192.0,134.0,64.0,0.9,Yoga,19.7,3.8,5,2,22.6,3.0,0.546875,1.640625,83.1,4.432006566978902
58,Male,71.3,1.69,160.0,122.0,75.0,0.43,Yoga,25.1,3.5,2,0,25.0,3.0,0.5529411764705883,1.6588235294117648,50.9,3.949318790171843
23,Male,40.4,1.5,198.0,142.0,72.0,0.91,Yoga,18.8,3.8,5,1,18.0,3.0,0.5555555555555556,1.6666666666666667,61.3,4.131961425793407
22,Female,54.0,1.57,205.0,187.0,85.0,0.6,Hiit,27.5,2.7,3,0,21.9,9.5,0.85,8.075,261.6,5.5706319618686955
46,Female,83.2,1.72,180.0,126.0,60.0,0.66,Yoga,22.8,3.1,3,1,28.2,3.0,0.55,1.65,90.6,4.517431271680085
45,Female,52.9,1.58,173.0,148.0,71.0,0.62,Mixed,26.1,3.9,3,0,21.2,8.0,0.7549019607843137,6.03921568627451,198.1,5.293807211070151
28,Female,47.7,1.63,188.0,158.0,70.0,1.3,Mixed,16.4,4.5,7,3,18.1,8.0,0.7457627118644068,5.966101694915254,370.0,5.916202062607435
18,Male,85.3,1.73,198.0,152.0,65.0,0.83,Cardio,19.6,3.1,4,1,28.5,7.0,0.6541353383458647,4.578947368421053,324.2,5.784440377673656
36,Male,67.8,1.62,177.0,147.0,77.0,0.25,Strength,29.3,3.2,3,0,25.8,6.0,0.7,4.199999999999999,71.2,4.279440045898781
26,Male,73.7,1.76,198.0,179.0,70.0,0.48,Hiit,24.9,3.0,2,0,23.7,9.5,0.8515625,8.08984375,286.2,5.660178837174069
44,Female,68.3,1.7,169.0,124.0,68.0,0.93,Yoga,24.3,3.6,3,0,23.6,3.0,0.5544554455445545,1.6633663366336635,105.7,4.670021158307708
51,Female,83.5,1.72,158.0,116.0,66.0,0.98,Yoga,26.5,4.0,4,1,28.1,3.0,0.5434782608695652,1.6304347826086956,133.4,4.900820428089049
21,Male,81.9,1.8,203.0,161.0,85.0,0.45,Cardio,27.3,2.6,3,0,25.2,7.0,0.6440677966101694,4.508474576271186,166.2,5.119190700650601
53,Female,77.9,1.71,170.0,154.0,64.0,0.77,Hiit,20.9,3.5,4,1,26.6,9.5,0.8490566037735849,8.066037735849058,483.8,6.1837364347551045
35,Male,71.4,1.83,180.0,164.0,74.0,0.55,Hiit,30.4,3.5,3,0,21.2,9.5,0.8490566037735849,8.066037735849058,316.8,5.761422254102616
32,Male,56.5,1.77,190.0,133.0,64.0,0.53,Yoga,8.1,3.4,4,2,18.0,3.0,0.5476190476190477,1.642857142857143,49.2,3.9160150266976834
30,Male,70.2,1.63,183.0,167.0,75.0,1.18,Hiit,18.3,3.7,3,1,26.5,9.5,0.8518518518518519,8.092592592592593,670.4,6.5093650845459345
36,Male,93.0,1.81,184.0,133.0,71.0,1.04,Yoga,19.5,4.6,4,2,28.4,3.0,0.5486725663716814,1.646017699115044,159.2,5.076423034634259
23,Male,67.3,1.71,199.0,164.0,61.0,1.33,Mixed,13.9,4.4,7,3,23.1,8.0,0.7463768115942029,5.971014492753623,534.5,6.283200889887803
29,Male,74.1,1.64,194.0,132.0,55.0,1.645,Yoga,18.6,4.5,5,3,27.6,3.0,0.5539568345323741,1.6618705035971222,206.9,5.337057194863967
54,Male,66.1,1.71,168.0,134.0,71.0,0.94,Cardio,26.1,3.3,2,0,22.7,7.0,0.6494845360824743,4.546391752577319,282.5,5.647212123167807
34,Female,75.8,1.79,177.0,135.0,59.0,1.09,Cardio,11.4,3.2,7,2,23.6,7.0,0.6440677966101694,4.508474576271186,372.5,5.922918004572872
40,Male,92.3,1.73,182.0,134.0,76.0,0.88,Yoga,19.9,3.7,4,1,31.0,3.0,0.5471698113207547,1.641509433962264,133.3,4.900076103529192
43,Male,79.2,1.86,188.0,170.0,65.0,1.1,Hiit,20.6,3.6,4,1,22.8,9.5,0.8536585365853658,8.109756097560975,706.5,6.561737629517393
46,Female,72.3,1.79,176.0,144.0,68.0,1.01,Strength,23.6,4.0,5,3,22.6,6.0,0.7037037037037037,4.222222222222222,308.3,5.734311679691024
50,Male,54.0,1.73,163.0,142.0,77.0,0.52,Mixed,29.9,4.5,3,0,18.0,8.0,0.7558139534883721,6.046511627906977,169.8,5.14049328135447
44,Female,66.6,1.58,172.0,143.0,76.0,0.42,Strength,23.2,3.2,3,1,26.8,6.0,0.6979166666666666,4.1875,117.1,4.771531723203316
42,Male,58.5,1.66,175.0,152.0,81.0,0.95,Mixed,20.7,4.4,4,1,21.2,8.0,0.7553191489361702,6.042553191489362,335.8,5.819489282368171
27,Female,70.0,1.69,181.0,154.0,70.0,0.61,Mixed,29.8,4.0,3,0,24.6,8.0,0.7567567567567568,6.054054054054054,258.5,5.558756702605943
40,Female,69.6,1.75,181.0,162.0,55.0,1.48,Hiit,15.1,4.4,6,3,22.7,9.5,0.8492063492063492,8.067460317460318,719.45,6.579876016778943
38,Female,67.6,1.74,180.0,154.0,76.0,0.72,Mixed,26.5,3.9,2,0,22.2,8.0,0.75,6.0,292.0,5.680172609017068
38,Male,67.8,1.7,180.0,142.0,70.0,0.9,Cardio,19.6,3.2,7,2,23.5,7.0,0.6545454545454545,4.581818181818182,279.6,5.6369301676683605
30,Female,68.2,1.69,189.0,143.0,57.0,1.44,Cardio,12.9,4.3,5,3,23.8,7.0,0.6515151515151515,4.5606060606060606,447.9,6.106800145787886
